"","Company","Country","Project","Payment_type","V1"
"252","Hunting Plc","United States of America","South Timbalier 19/30","Royalties",44216
"253","Total Sa","Bolivia, Plurinational State of","Itau","Production Entitlements",43000
"254","Randgold Resources","Senegal","Randgold Resources (Senegal) Limited","Fees",42294
"255","Hunting Plc","United States of America","South Pelto 5 & 5A","Royalties",42090
"256","Total Sa","Gabon","Mboga CEPP","Fees",41000
"257","Total Sa","Angola","Block 33","Fees",38000
"258","Polymetal Intl Plc","Russian Federation","Voro","Fees",37000
"259","Green Dragon Gas Ltd","China","Chengzhuang (GCZ)","Fees",35000
"260","Hunting Plc","United States of America","South Timbalier 16","Royalties",29181
"261","Hunting Plc","United States of America","Ship Shoal 67","Royalties",27280
"262","Hunting Plc","United States of America","Fisher","Tax",19396
"263","Petropavlovsk Plc","Russian Federation","Alluvial operations","Fees",16000
"264","Vedanta Resources","India","MVPL","Tax",290000
"265","Hunting Plc","United States of America","Adair San Andres Unit","Tax",13899
"266","Total Sa","Gabon","Atora CEPP","Fees",320000
"267","Total Sa","Brunei Darussalam","Block B","Fees",13000
"268","Total Sa","Bolivia, Plurinational State of","Aquio","Fees",281000
"269","Randgold Resources","Mali","Société des Mines de Gounkoto SA","Fees",12681
"270","Hunting Plc","United States of America","Abbeville/Crystal","Tax",10612
"271","Exillon Energy Plc","Russian Federation","Aslador Oil CJSC","Fees",9000
"272","Hunting Plc","United States of America","Dorcheat-Macedonia","Tax",7176
"273","Hunting Plc","United States of America","Little Wall Creek","Tax",6624
"274","Exillon Energy Plc","Russian Federation","Komi Resources CJSC","Fees",5000
"275","Hunting Plc","United States of America","Agua Dulce","Tax",4337
"276","Randgold Resources","Mali","Randgold Resources Mali SARL","Fees",2877
"277","Hunting Plc","United States of America","Lucky","Tax",2306
"278","Polymetal Intl Plc","Russian Federation","Dukat","Fees",440000
"279","Hunting Plc","United States of America","East Dickenson","Tax",1206
"280","Hunting Plc","United States of America","South Pelto 5 & 5A","Tax",1169
"281","Polymetal Intl Plc","Kazakhstan","Kyzyl","Royalties",1000
"282","Glencore plc","Equatorial Guinea","Block I - Aseng Project","Production Entitlements",105632000
"283","Rio Tinto PLC","Australia","GOVE","Tax",13350942
"284","Rio Tinto PLC","Australia","PILBARA","Tax",1980216391
"285","JKX Oil & Gas plc","Slovakia","Exploration","Fees",173000
"286","JKX Oil & Gas plc","Ukraine","Payment at an entity level","Tax",696000
"287","JKX Oil & Gas plc","Hungary","Appraisal and exploration","Fees",52000
"288","JKX Oil & Gas plc","Hungary","Appraisal and exploration","Royalties",1000
"289","JKX Oil & Gas plc","Russian Federation","Koshekhablskoye field","Royalties",1445000
"290","JKX Oil & Gas plc","Ukraine","Elizavetovskoye field","Royalties",9932000
"291","EQUION ENERGIA LIMITED","Colombia","Tauramena","Royalties",35378586
"292","Perenco Overseas Holdings Limited","Viet Nam","Perenco Cuu Long Ltd","Royalties",29116040
"293","Perenco Overseas Holdings Limited","Viet Nam","Perenco Vietnam AS","Tax",3556862
"294","Exillon Energy Plc","Russian Federation","Kayumovskoe oil field","Tax",51869000
"295","Perenco (Oil & Gas) International Limited","Turkey","Corporate","Tax",29747399
"296","Perenco (Oil & Gas) International Limited","Turkey","3341","Royalties",673951
"297","Perenco (Oil & Gas) International Limited","Turkey","2553","Royalties",19801
"298","Perenco (Oil & Gas) International Limited","Turkey","840","Royalties",151978
"299","Perenco Oil & Gas Colombia Limited","Colombia","Manatus","Production Entitlements",203760
"300","Perenco Oil & Gas Colombia Limited","Colombia","Tiple","Production Entitlements",317376
"301","Perenco Oil & Gas Colombia Limited","Colombia","Yalea","Royalties",899
"302","Perenco Oil & Gas Colombia Limited","Colombia","Yalea","Production Entitlements",941952
"303","Perenco Oil & Gas Colombia Limited","Colombia","San Jacinto & Rio Paez LCN","Production Entitlements",437520
"304","Total Sa","Congo","Litanzi & Tchibeli","Fees",11000
"305","Perenco Oil & Gas Colombia Limited","Colombia","Cerrero Chacharo","Royalties",58916
"306","Total Sa","United Arab Emirates","Abu Dhabi Company for Onshore Oil Operation (ADCO)","Tax",2602274000
"307","Hunting Plc","United States of America","Bishop, West","Tax",9100
"308","Perenco Oil & Gas Colombia Limited","Colombia","Espinal","Royalties",560815
"309","Total Sa","United Arab Emirates","Abu Dhabi Company for Onshore Oil Operation (ADCO)","Bonuses",2.22e+09
"310","Hunting Plc","United States of America","Little Wall Creek","Royalties",1889
"311","Perenco Oil & Gas Colombia Limited","Colombia","Boquerón","Royalties",3962
"312","Tethys Petroleum Limited","Tajikistan","Bokhtar PSC","Tax",130287
"313","Tethys Petroleum Limited","Kazakhstan","Kul-Bas","Infrastructure",21711
"314","Total Sa","United Kingdom of Great Britain and Northern Ireland","Non-attributable","Fees",580000
"315","Tethys Petroleum Limited","Kazakhstan","Kyzloi Gas","Tax",25333
"316","Total Sa","Congo","CPP Tchendo 2","Fees",425000
"317","Tethys Petroleum Limited","Kazakhstan","Akulka Oil","Tax",718038
"318","Tethys Petroleum Limited","Kazakhstan","Akulka Gas","Tax",58457
"319","Hunting Plc","United States of America","Fairway","Tax",1016
"320","Nostrum Oil & Gas PLC","Kazakhstan","Rostoshinkoye","Infrastructure",3e+05
"321","Nostrum Oil & Gas PLC","Kazakhstan","Chinarevskoye","Infrastructure",3e+05
"322","Nostrum Oil & Gas PLC","Kazakhstan","Chinarevskoye","Royalties",17142173
"323","Nostrum Oil & Gas PLC","Kazakhstan","Chinarevskoye","Tax",40695269
"324","Nostrum Oil & Gas PLC","Kazakhstan","Chinarevskoye","Production Entitlements",6985642
"325","Cairn Energy PLC","Senegal","Sangomar-Rufisque","Fees",107055
"326","Cairn Energy PLC","Morocco","Juby Maritime","Tax",70297
"327","Cairn Energy PLC","Norway","New Opportunities - Norway","Fees",97707
"328","Cairn Energy PLC","Ireland","Corporate - Republic of Ireland","Tax",343
"329","Cairn Energy PLC","Ireland","FEL 1/14","Fees",45368
"330","Cairn Energy PLC","Greenland","2008/11 ( Eqqua)","Fees",63483
"331","Petropavlovsk Plc","Russian Federation","Other","Fees",79000
"332","EnQuest PLC","Malaysia","Corporate","Tax",7766461
"333","Vedanta Resources","India","VEDL-C-Tuti","Fees",90000
"334","Total Sa","Yemen","Block 72","Fees",93000
"335","EnQuest PLC","United Kingdom of Great Britain and Northern Ireland","Corporate","Fees",1849352
"336","Petropavlovsk Plc","Russian Federation","JSC Pokrovskiy Rudnik","Fees",502000
"337","EnQuest PLC","United Kingdom of Great Britain and Northern Ireland","Kildrummy","Fees",149202
"338","Nord Gold SE","Burkina Faso","Jilbey Burkina SARL","Tax",142747
"339","Randgold Resources","Cote d'Ivoire","Société des Mines de Tongon SA","Tax",579868
"340","Tethys Petroleum Limited","Kazakhstan","Kyzloi Gas","Infrastructure",54276
"341","Anglo American plc","Brazil","Corporate-Anglo American Niobio Ltda","Fees",17850
"342","BG Group Ltd","Tunisia","Miskar","Tax",33408000
"343","Glencore plc","Chad","Mangara Field Project","Fees",823000
"344","Glencore plc","Kazakhstan","North-East Kazakhstan Project - Kazzinc","Royalties",65890000
"345","Glencore plc","Tanzania, United Republic of","Kagera Region Project - Kabanga","Fees",206000
"346","Anglo American plc","South Africa","Corporate-Sishen Iron Ore Company (Pty) Ltd","Royalties",19911762
"347","Antofagasta plc","","Los Pelambres","Tax",226454000
"348","Tullow Oil PLC","Kenya","Block 10BA","Fees",158100
"349","Glencore plc","South Africa","Mpumalanga Province Project - Thermal Coal","Infrastructure",743988
"350","Total Sa","Algeria","Tin Fouyé Tabenkort","Production Entitlements",209142000
"351","Glencore plc","Peru","Huarochiri Project - Minera Los Quenuales","Fees",439000
"352","Antofagasta plc","","Centinela","Tax",61994000
"353","Glencore plc","Peru","Antapaccay","Fees",4716000
"354","Tullow Oil PLC","Mozambique","Tullow Mozambique Limited","Tax",830
"355","BG Group Ltd","Tanzania, United Republic of","Block 4","Fees",226000
"356","Glencore plc","Peru","Antapaccay","Royalties",26728000
"357","Glencore plc","Equatorial Guinea","Block V Project","Fees",279000
"358","Glencore plc","Congo, the Democratic Republic of the","DRC Copperbelt Region Project","Fees",29426000
"359","Total Sa","United Kingdom of Great Britain and Northern Ireland","Markham Area","Fees",194000
"360","Glencore plc","Peru","Huarochiri Project - Minera Los Quenuales","Royalties",894000
"361","ROYAL DUTCH SHELL PLC","Gabon","GABON SOUTH","Infrastructure",16791230
"362","ROYAL DUTCH SHELL PLC","Argentina","ACAMBUCO","Royalties",5338345
"363","BP P.L.C.","United Kingdom of Great Britain and Northern Ireland","Andrew","Fees",209265
"364","BG Group Ltd","Trinidad and Tobago","NCMA","Fees",1343000
"365","Glencore plc","Colombia","Cesar Department Project - Prodeco","Tax",23832000
"366","ROYAL DUTCH SHELL PLC","Malaysia","SABAH SHELL PETROLEUM COMPANY LIMITED","Tax",368210
"367","Total Sa","Bolivia, Plurinational State of","Ipati","Fees",464000
"368","EnQuest PLC","United Kingdom of Great Britain and Northern Ireland","Kraken","Fees",498491
"369","Glencore plc","Canada","Quebec Project - Raglan","Tax",13620000
"370","Cadogan Petroleum PLC","Ukraine","Monastyretska licence area","Tax",241227
"371","ROYAL DUTCH SHELL PLC","Canada","INSITU","Royalties",10959461
"372","Avocet Mining PLC","Burkina Faso","Inata","Tax",2494000
"373","Glencore plc","Canada","Quebec Project - Matagami","Fees",35000
"374","Total Sa","Bulgaria","Silistar","Fees",6000
"375","Perenco Oil & Gas Colombia Limited","Colombia","Espinal","Production Entitlements",3798672
"376","Avocet Mining PLC","Burkina Faso","Inata","Royalties",2094000
"377","ROYAL DUTCH SHELL PLC","Brazil","Shell Brasil Petroleo Ltda","Fees",1077972
"378","BP P.L.C.","Oman","Khazzan","Fees",4e+05
"379","Total Sa","United Arab Emirates","Abu Dhabi Marine Areas Ltd (ADMA)","Tax",1433960000
"380","Polymetal Intl Plc","Kazakhstan","Kyzyl","Fees",86000
