"","Company","Project","Country","V1","ProComp"
"121","Nostrum Oil & Gas PLC","Chinarevskoye","Kazakhstan",66154012,"Nostrum Oil & Gas PLC Chinarevskoye"
"122","Total Sa","Joint ventures with NNPC, operated - non-attributable","Nigeria",66029000,"Total Sa Joint ventures with NNPC, operated - non-attributable"
"123","Rio Tinto PLC","DIAVIK","Canada",63570052,"Rio Tinto PLC DIAVIK"
"124","Vedanta Resources","CIL-CB-OS/2","India",62510000,"Vedanta Resources CIL-CB-OS/2"
"125","Antofagasta plc","Centinela","",62183000,"Antofagasta plc Centinela"
"126","BG Group Ltd","Corporate","Bolivia, Plurinational State of",61788000,"BG Group Ltd Corporate"
"127","BP P.L.C.","Ras El Bar","Egypt",61560617,"BP P.L.C. Ras El Bar"
"128","ROYAL DUTCH SHELL PLC","SHELL NEW ZEALAND (2011) LIMITED","New Zealand",58985496,"ROYAL DUTCH SHELL PLC SHELL NEW ZEALAND (2011) LIMITED"
"129","Anglo American plc","Corporate-Sishen Iron Ore Company (Pty) Ltd","South Africa",58398492,"Anglo American plc Corporate-Sishen Iron Ore Company (Pty) Ltd"
"130","EnQuest PLC","PM8","Malaysia",56967147,"EnQuest PLC PM8"
"131","ROYAL DUTCH SHELL PLC","POHOKURA","New Zealand",55711110,"ROYAL DUTCH SHELL PLC POHOKURA"
"132","Premier Oil Plc","Natuna Sea Block A","Indonesia",55589000,"Premier Oil Plc Natuna Sea Block A"
"133","BG Group Ltd","Miskar","Tunisia",54587000,"BG Group Ltd Miskar"
"134","ROYAL DUTCH SHELL PLC","ONEGAS WEST","United Kingdom of Great Britain and Northern Ireland",53998806,"ROYAL DUTCH SHELL PLC ONEGAS WEST"
"135","ROYAL DUTCH SHELL PLC","GULF OF MEXICO EXPLORATION","United States of America",53429642,"ROYAL DUTCH SHELL PLC GULF OF MEXICO EXPLORATION"
"136","Vedanta Resources","KCM","Zambia",53280000,"Vedanta Resources KCM"
"137","Total Sa","Tierra del Fuego","Argentina",51668000,"Total Sa Tierra del Fuego"
"138","BG Group Ltd","Rosetta","Egypt",50539000,"BG Group Ltd Rosetta"
"139","Total Sa","Concession Anguille","Gabon",50186000,"Total Sa Concession Anguille"
"140","Gem Diamonds Ltd","Letšeng Diamonds (Proprietary) Limited","Lesotho",50008000,"Gem Diamonds Ltd Letšeng Diamonds (Proprietary) Limited"
"141","BP P.L.C.","In Amenas","Algeria",49466918,"BP P.L.C. In Amenas"
"142","Total Sa","Concession Grondin","Gabon",48452000,"Total Sa Concession Grondin"
"143","Acacia Mining","Bulyanhulu gold mine","Tanzania, United Republic of",48257000,"Acacia Mining Bulyanhulu gold mine"
"144","Premier Oil Plc","Corporate","Viet Nam",47640000,"Premier Oil Plc Corporate"
"145","Total Sa","San Alberto","Bolivia, Plurinational State of",46843000,"Total Sa San Alberto"
"146","Anglo American plc","Moranbah North","Australia",46788860,"Anglo American plc Moranbah North"
"147","BG Group Ltd","Hasdrubal","Tunisia",46778000,"BG Group Ltd Hasdrubal"
"148","Glencore plc","Badila Field Project","Chad",46680000,"Glencore plc Badila Field Project"
"149","Anglo American plc","Dawson","Australia",46157928,"Anglo American plc Dawson"
"150","Total Sa","Central Graben Area","United Kingdom of Great Britain and Northern Ireland",46105000,"Total Sa Central Graben Area"
"151","Rio Tinto PLC","GOVE","Australia",45731057,"Rio Tinto PLC GOVE"
"152","Tullow Oil PLC","Jubilee","Ghana",45381369,"Tullow Oil PLC Jubilee"
"153","Total Sa","Abu Al Bukhoosh","United Arab Emirates",44240000,"Total Sa Abu Al Bukhoosh"
"154","Total Sa","Itau","Bolivia, Plurinational State of",43048000,"Total Sa Itau"
"155","ROYAL DUTCH SHELL PLC","BC-10","Brazil",42572961,"ROYAL DUTCH SHELL PLC BC-10"
"156","Glencore plc","Copperbelt Region Project - Mopani","Zambia",42155000,"Glencore plc Copperbelt Region Project - Mopani"
"157","Total Sa","OML99 (joint venture with NNPC, operated)","Nigeria",41401000,"Total Sa OML99 (joint venture with NNPC, operated)"
"158","Glencore plc","Queensland Project - Mount Isa Mines Zinc","Australia",41337616,"Glencore plc Queensland Project - Mount Isa Mines Zinc"
"159","Vedanta Resources","HZL-SK Mine","India",40890000,"Vedanta Resources HZL-SK Mine"
"160","Acacia Mining","North Mara gold mine","Tanzania, United Republic of",40501000,"Acacia Mining North Mara gold mine"
"161","BG Group Ltd","QCLNG","Australia",39932000,"BG Group Ltd QCLNG"
"162","Total Sa","Bruce","United Kingdom of Great Britain and Northern Ireland",38948000,"Total Sa Bruce"
"163","BP P.L.C.","Sanga - Sanga","Indonesia",38938903,"BP P.L.C. Sanga - Sanga"
"164","Total Sa","Concession Torpille","Gabon",38446000,"Total Sa Concession Torpille"
"165","Tullow Oil PLC","Tullow Equatorial Guinea Limited","Equatorial Guinea",37380751,"Tullow Oil PLC Tullow Equatorial Guinea Limited"
"166","Randgold Resources","Société des Mines de Loulo SA","Mali",37207077,"Randgold Resources Société des Mines de Loulo SA"
"167","Rio Tinto PLC","US BORAX","United States of America",36057425,"Rio Tinto PLC US BORAX"
"168","Polymetal Intl Plc","Voro","Russian Federation",35681000,"Polymetal Intl Plc Voro"
"169","EQUION ENERGIA LIMITED","Tauramena","Colombia",35378586,"EQUION ENERGIA LIMITED Tauramena"
