"","Company","Project","Country","V1","ProComp"
"752","Hunting Plc","South Timbalier 16","United States of America",29849,"Hunting Plc South Timbalier 16"
"753","Cairn Energy PLC","2002/15 (Atammik)","Greenland",27061,"Cairn Energy PLC 2002/15 (Atammik)"
"754","Tullow Oil PLC","Block C-18","Mauritania",26450,"Tullow Oil PLC Block C-18"
"755","Hunting Plc","Ship Shoal 67","United States of America",25988,"Hunting Plc Ship Shoal 67"
"756","Randgold Resources","Randgold Resources (Côte d'Ivoire) SARL","Cote d'Ivoire",24734,"Randgold Resources Randgold Resources (Côte d'Ivoire) SARL"
"757","Tullow Oil PLC","E18a","Netherlands",24408,"Tullow Oil PLC E18a"
"758","Tullow Oil PLC","Block C-10","Mauritania",24150,"Tullow Oil PLC Block C-10"
"759","KAZ Minerals PLC","Orlovsky","Kazakhstan",23836,"KAZ Minerals PLC Orlovsky"
"760","Cairn Energy PLC","FEL 2/04","Ireland",23092,"Cairn Energy PLC FEL 2/04"
"761","Tethys Petroleum Limited","Kul-Bas","Kazakhstan",21711,"Tethys Petroleum Limited Kul-Bas"
"762","Perenco (Oil & Gas) International Limited","2553","Turkey",19801,"Perenco (Oil & Gas) International Limited 2553"
"763","Tullow Oil PLC","Block C-3","Mauritania",19650,"Tullow Oil PLC Block C-3"
"764","Hunting Plc","Fisher","United States of America",19396,"Hunting Plc Fisher"
"765","Tullow Oil PLC","Block 13T","Kenya",18876,"Tullow Oil PLC Block 13T"
"766","Tullow Oil PLC","Thames","United Kingdom of Great Britain and Northern Ireland",17083,"Tullow Oil PLC Thames"
"767","KAZ Minerals PLC","Artemyevsky","Kazakhstan",16147,"KAZ Minerals PLC Artemyevsky"
"768","Hunting Plc","Vermilion 51","United States of America",15590,"Hunting Plc Vermilion 51"
"769","Hunting Plc","Adair San Andres Unit","United States of America",13899,"Hunting Plc Adair San Andres Unit"
"770","Anglo American plc","Corporate","Australia",13071,"Anglo American plc Corporate"
"771","Anglo American plc","Theodore South Exploration JV","Australia",13051,"Anglo American plc Theodore South Exploration JV"
"772","KAZ Minerals PLC","Koksay","Kazakhstan",11389,"KAZ Minerals PLC Koksay"
"773","JX Nippon Exploration and Production (U.K.) Limited","Licence P2016 Project","United Kingdom of Great Britain and Northern Ireland",10773,"JX Nippon Exploration and Production (U.K.) Limited Licence P2016 Project"
"774","Tullow Oil PLC","Gawain","United Kingdom of Great Britain and Northern Ireland",10615,"Tullow Oil PLC Gawain"
"775","Hunting Plc","Abbeville/Crystal","United States of America",10612,"Hunting Plc Abbeville/Crystal"
"776","Hunting Plc","Bishop, West","United States of America",9100,"Hunting Plc Bishop, West"
"777","Anglo American plc","Corporate-Asociación Michiquillay","Peru",9017,"Anglo American plc Corporate-Asociación Michiquillay"
"778","Tullow Oil PLC","Kalchas","Pakistan",9008,"Tullow Oil PLC Kalchas"
"779","Exillon Energy Plc","Aslador Oil CJSC","Russian Federation",9000,"Exillon Energy Plc Aslador Oil CJSC"
"780","Tullow Oil PLC","Tullow Kenya BV","Kenya",8577,"Tullow Oil PLC Tullow Kenya BV"
"781","Hunting Plc","Little Wall Creek","United States of America",8513,"Hunting Plc Little Wall Creek"
"782","Tullow Oil PLC","Bannu West","Pakistan",7842,"Tullow Oil PLC Bannu West"
"783","KAZ Minerals PLC","Aktogay","Kazakhstan",7605,"KAZ Minerals PLC Aktogay"
"784","KAZ Minerals PLC","Irtyshsky","Kazakhstan",7585,"KAZ Minerals PLC Irtyshsky"
"785","Hunting Plc","Dorcheat-Macedonia","United States of America",7176,"Hunting Plc Dorcheat-Macedonia"
"786","Hunting Plc","Chicolete","United States of America",6933,"Hunting Plc Chicolete"
"787","KAZ Minerals PLC","Legal entity","United Kingdom of Great Britain and Northern Ireland",6364,"KAZ Minerals PLC Legal entity"
"788","Total Sa","Silistar","Bulgaria",6000,"Total Sa Silistar"
"789","EVRAZ PLC","Mining Metallurgical Company «Timir»","Russian Federation",5329,"EVRAZ PLC Mining Metallurgical Company «Timir»"
"790","KAZ Minerals PLC","Yubileyno-Snegirikhinsky","Kazakhstan",5126,"KAZ Minerals PLC Yubileyno-Snegirikhinsky"
"791","Hunting Plc","Garden Island Bay","United States of America",5084,"Hunting Plc Garden Island Bay"
"792","Exillon Energy Plc","Komi Resources CJSC","Russian Federation",5000,"Exillon Energy Plc Komi Resources CJSC"
"793","Cadogan Petroleum PLC","Slobodo-Rungurska licence area","Ukraine",5000,"Cadogan Petroleum PLC Slobodo-Rungurska licence area"
"794","KAZ Minerals PLC","Bozshakol","Kazakhstan",4446,"KAZ Minerals PLC Bozshakol"
"795","Hunting Plc","Agua Dulce","United States of America",4337,"Hunting Plc Agua Dulce"
"796","Anglo American plc","Corporate-Asociación Quellaveco","Peru",4246,"Anglo American plc Corporate-Asociación Quellaveco"
"797","Glencore plc","Lusaka Region Project - Limeco Resources","Zambia",4000,"Glencore plc Lusaka Region Project - Limeco Resources"
"798","Tullow Oil PLC","Kohat","Pakistan",4000,"Tullow Oil PLC Kohat"
"799","Tullow Oil PLC","E15b","Netherlands",3108,"Tullow Oil PLC E15b"
"800","Tullow Oil PLC","Kohlu","Pakistan",3000,"Tullow Oil PLC Kohlu"
"801","Randgold Resources","Randgold Resources Mali SARL","Mali",2877,"Randgold Resources Randgold Resources Mali SARL"
"802","Hunting Plc","Wood River Ranch","United States of America",2707,"Hunting Plc Wood River Ranch"
"803","Hunting Plc","Lucky","United States of America",2306,"Hunting Plc Lucky"
"804","Tullow Oil PLC","Deben Wensum","United Kingdom of Great Britain and Northern Ireland",1965,"Tullow Oil PLC Deben Wensum"
"805","Tullow Oil PLC","F16E","Netherlands",1438,"Tullow Oil PLC F16E"
"806","Hunting Plc","East Dickenson","United States of America",1206,"Hunting Plc East Dickenson"
"807","Hunting Plc","Foss Brown","United States of America",1055,"Hunting Plc Foss Brown"
"808","Hunting Plc","Fairway","United States of America",1016,"Hunting Plc Fairway"
"809","Anglo American plc","Cubatao","Brazil",959,"Anglo American plc Cubatao"
"810","Tullow Oil PLC","Tullow Mozambique Limited","Mozambique",830,"Tullow Oil PLC Tullow Mozambique Limited"
"811","Anglo American plc","Modikwa","South Africa",760,"Anglo American plc Modikwa"
"812","Hunting Plc","Big Ceasar","United States of America",745,"Hunting Plc Big Ceasar"
"813","Hunting Plc","Heyser","United States of America",727,"Hunting Plc Heyser"
"814","Hunting Plc","SW Weesatche","United States of America",560,"Hunting Plc SW Weesatche"
"815","Hunting Plc","Chapel Hill","United States of America",501,"Hunting Plc Chapel Hill"
"816","Hunting Plc","Whiskey Joe","United States of America",493,"Hunting Plc Whiskey Joe"
"817","Anglo American plc","Puca Urku","Peru",428,"Anglo American plc Puca Urku"
"818","Hunting Plc","Shepherd","United States of America",357,"Hunting Plc Shepherd"
"819","Cairn Energy PLC","Corporate - Republic of Ireland","Ireland",343,"Cairn Energy PLC Corporate - Republic of Ireland"
"820","Hunting Plc","N Morales/Alley","United States of America",313,"Hunting Plc N Morales/Alley"
"821","Goldbridges Global Resources Plc","TOO Altai Ken-Bayitu","Kazakhstan",263,"Goldbridges Global Resources Plc TOO Altai Ken-Bayitu"
"822","Hunting Plc","Wickizer Extension","United States of America",208,"Hunting Plc Wickizer Extension"
"823","Hunting Plc","New Hope","United States of America",191,"Hunting Plc New Hope"
"824","KAZ Minerals PLC","Legal entity","Hong Kong",145,"KAZ Minerals PLC Legal entity"
"825","Hunting Plc","Hastings","United States of America",117,"Hunting Plc Hastings"
"826","Hunting Plc","North Shongaloo","United States of America",111,"Hunting Plc North Shongaloo"
"827","Tullow Oil PLC","Tullow Madagascar Limited","Madagascar",105,"Tullow Oil PLC Tullow Madagascar Limited"
"828","Hunting Plc","Pachuta Creek","United States of America",79,"Hunting Plc Pachuta Creek"
"829","Hunting Plc","East Texas","United States of America",63,"Hunting Plc East Texas"
"830","Hunting Plc","Crews","United States of America",59,"Hunting Plc Crews"
"831","Hunting Plc","North Thompson","United States of America",35,"Hunting Plc North Thompson"
"832","Hunting Plc","Rayne","United States of America",33,"Hunting Plc Rayne"
"833","Hunting Plc","Hortense","United States of America",30,"Hunting Plc Hortense"
"834","Hunting Plc","Hidalgo/Noser Gas Unit","United States of America",28,"Hunting Plc Hidalgo/Noser Gas Unit"
"835","Hunting Plc","Benedum Plant Field","United States of America",27,"Hunting Plc Benedum Plant Field"
"836","Hunting Plc","Hibank","United States of America",18,"Hunting Plc Hibank"
"837","Hunting Plc","Port Neches","United States of America",11,"Hunting Plc Port Neches"
"838","Hunting Plc","Stamps","United States of America",10,"Hunting Plc Stamps"
"839","Hunting Plc","Seven Oaks","United States of America",10,"Hunting Plc Seven Oaks"
"840","Perenco Oil & Gas Colombia Limited","Cerrero Katmandu Norte-1","Colombia",10,"Perenco Oil & Gas Colombia Limited Cerrero Katmandu Norte-1"
"841","Hunting Plc","Bodcaw","United States of America",7,"Hunting Plc Bodcaw"
"842","Hunting Plc","Big Creek","United States of America",5,"Hunting Plc Big Creek"
"843","Anglo American plc","Mototolo JV","South Africa",4,"Anglo American plc Mototolo JV"
